"","cell_type","0","1","virus"
"498","Breast myoepithelial cells",1,NA,"UP000008448"
"499","Cardiomyocytes",1,NA,"UP000008448"
"500","Cholangiocytes",1,NA,"UP000008448"
"501","Ciliated cells",1,NA,"UP000008448"
"502","Club cells",1,NA,"UP000008448"
"503","Collecting duct cells",1,NA,"UP000008448"
"504","Cone photoreceptor cells",1,NA,"UP000008448"
"505","Cytotrophoblasts",NA,1,"UP000008448"
"506","Distal enterocytes",1,NA,"UP000008448"
"507","Distal tubular cells",1,NA,"UP000008448"
"508","Ductal cells",1,NA,"UP000008448"
"509","Early spermatids",1,NA,"UP000008448"
"510","Endometrial stromal cells",1,NA,"UP000008448"
"511","Endothelial cells",1,NA,"UP000008448"
"512","Enteroendocrine cells",1,NA,"UP000008448"
"513","Erythroid cells",1,NA,"UP000008448"
"514","Excitatory neurons",1,NA,"UP000008448"
"515","Exocrine glandular cells",1,NA,"UP000008448"
"516","Extravillous trophoblasts",1,NA,"UP000008448"
"517","Fibroblasts",1,NA,"UP000008448"
"518","Gastric mucus-secreting cells",1,NA,"UP000008448"
"519","Glandular and luminal cells",1,NA,"UP000008448"
"520","Granulosa cells",1,NA,"UP000008448"
"521","Hepatocytes",1,NA,"UP000008448"
"522","Hofbauer cells",1,NA,"UP000008448"
"523","Horizontal cells",1,NA,"UP000008448"
"524","Inhibitory neurons",1,NA,"UP000008448"
"525","Intestinal goblet cells",1,NA,"UP000008448"
"526","Ionocytes",1,NA,"UP000008448"
"527","Kupffer cells",1,NA,"UP000008448"
"528","Langerhans cells",1,NA,"UP000008448"
"529","Late spermatids",1,NA,"UP000008448"
"530","Leydig cells",1,NA,"UP000008448"
"531","Lymphatic endothelial cells",1,NA,"UP000008448"
"532","Macrophages",1,NA,"UP000008448"
"533","Melanocytes",1,NA,"UP000008448"
"534","Mesothelial cells",1,NA,"UP000008448"
"535","Microglial cells",1,NA,"UP000008448"
"536","Mucus glandular cells",1,NA,"UP000008448"
"537","Muller glia cells",1,NA,"UP000008448"
"538","NK-cells",1,NA,"UP000008448"
"539","Oligodendrocyte precursor cells",1,NA,"UP000008448"
"540","Oligodendrocytes",1,NA,"UP000008448"
"541","Oocytes",1,NA,"UP000008448"
"542","Ovarian stromal cells",1,NA,"UP000008448"
"543","Pancreatic endocrine cells",1,NA,"UP000008448"
"544","Paneth cells",1,NA,"UP000008448"
"545","Peritubular cells",1,NA,"UP000008448"
"546","Plasma cells",1,NA,"UP000008448"
"547","Prostatic glandular cells",1,NA,"UP000008448"
"548","Proximal enterocytes",1,NA,"UP000008448"
"549","Proximal tubular cells",1,NA,"UP000008448"
"550","Rod photoreceptor cells",1,NA,"UP000008448"
"551","Salivary duct cells",1,NA,"UP000008448"
"552","Schwann cells",1,NA,"UP000008448"
"553","Secretory cells",1,NA,"UP000008448"
"554","Serous glandular cells",1,NA,"UP000008448"
"555","Sertoli cells",1,NA,"UP000008448"
"556","Skeletal myocytes",1,NA,"UP000008448"
"557","Smooth muscle cells",1,NA,"UP000008448"
"558","Spermatocytes",1,NA,"UP000008448"
"559","Spermatogonia",1,NA,"UP000008448"
"560","Squamous epithelial cells",1,NA,"UP000008448"
